voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
8896,37,18,19,0.4864864864864865,0.5135135135135135,0.3781978,-4.7630224,0.4500931,-2.5274081
8909,37,14,23,0.3783783783783784,0.6216216216216216,0.12100203,7.0308313,0.24124667,7.591528
8910,37,18,19,0.4864864864864865,0.5135135135135135,0.031087702,6.432012,0.21329388,8.487041
8915,37,19,18,0.5135135135135135,0.4864864864864865,0.43075287,4.0810456,0.38442945,5.5018096
8916,37,19,18,0.5135135135135135,0.4864864864864865,0.6721337,2.4004762,0.76520216,3.445172
8917,37,20,17,0.5405405405405406,0.4594594594594595,0.79779017,2.1317918,0.97185415,2.4272416
8918,37,19,18,0.5135135135135135,0.4864864864864865,0.91228753,1.4788843,1.1305313,0.5745205
8919,37,16,21,0.4324324324324324,0.5675675675675675,0.5718672,-2.0248203,0.52080584,-1.5429463
8920,37,18,19,0.4864864864864865,0.5135135135135135,0.38811553,-0.8603345,0.41759542,-2.473211
8931,37,17,20,0.4594594594594595,0.5405405405405406,0.20351854,4.9923244,0.3477224,7.315747
8932,37,15,22,0.4054054054054054,0.5945945945945946,0.14329661,7.490116,0.2068605,8.6097555
8935,37,18,19,0.4864864864864865,0.5135135135135135,0.24714614,4.862188,0.3534327,4.414118
8936,37,21,16,0.5675675675675675,0.4324324324324324,0.71756554,1.1702505,0.7428662,0.040469486
8937,37,16,21,0.4324324324324324,0.5675675675675675,0.33320364,-2.208138,0.50531036,-1.2562503
8939,37,21,16,0.5675675675675675,0.4324324324324324,-0.297099,-0.82828015,-0.3886104,-0.07281384
8949,37,13,24,0.3513513513513513,0.6486486486486487,0.53609896,5.989419,0.4911698,8.291569
8950,37,14,23,0.3783783783783784,0.6216216216216216,0.21160133,8.035348,0.2712373,9.3301115
8953,37,20,17,0.5405405405405406,0.4594594594594595,0.12798493,0.9118701,0.24282736,2.8578022
8955,37,20,17,0.5405405405405406,0.4594594594594595,0.31973433,3.911279,0.67240906,0.9885243
8956,37,21,16,0.5675675675675675,0.4324324324324324,0.34939146,1.032689,0.4643913,0.683683
8957,37,18,19,0.4864864864864865,0.5135135135135135,0.21617818,-0.22275145,0.4276312,-0.9798164
8958,37,23,14,0.6216216216216216,0.3783783783783784,-0.28626084,-2.4206817,-0.3518586,-0.9980168
8970,37,13,24,0.3513513513513513,0.6486486486486487,0.63199335,7.5170875,0.5738105,8.995499
8971,37,14,23,0.3783783783783784,0.6216216216216216,0.37349644,7.729545,0.3580288,9.285383
8973,37,16,21,0.4324324324324324,0.5675675675675675,0.2503695,1.3883617,0.3328125,1.7958834
8986,37,12,25,0.3243243243243243,0.6756756756756757,0.698704,5.38,0.60231125,7.7811537
8987,37,14,23,0.3783783783783784,0.6216216216216216,0.44889808,5.9030437,0.43297017,7.2965684
8988,37,14,23,0.3783783783783784,0.6216216216216216,0.22174744,6.2864447,0.19420578,6.876875
